year,month,period,season,window,seasonid,seasonkey
2008,6,wet,breeding,jun,fall_jun_2008,-1
2008,7,wet,breeding,jun,fall_jun_2008,-1
2008,8,wet,breeding,jun,fall_jun_2008,-1
2008,9,wet,breeding,jun,fall_jun_2008,-1
2008,10,dry,nonbreeding,oct,spring_oct_2008,0
2008,11,dry,nonbreeding,oct,spring_oct_2008,0
2008,12,dry,nonbreeding,oct,spring_oct_2008,0
2009,1,dry,nonbreeding,oct,spring_oct_2008,0
2009,2,dry,nonbreeding,oct,spring_oct_2008,0
2009,3,dry,nonbreeding,oct,spring_oct_2008,0
2009,4,dry,nonbreeding,oct,spring_oct_2008,0
2009,5,dry,nonbreeding,oct,spring_oct_2008,0
2009,6,wet,breeding,jun,fall_jun_2009,1
2009,7,wet,breeding,jun,fall_jun_2009,1
2009,8,wet,breeding,jun,fall_jun_2009,1
2009,9,wet,breeding,jun,fall_jun_2009,1
2009,10,dry,nonbreeding,oct,spring_oct_2009,2
2009,11,dry,nonbreeding,oct,spring_oct_2009,2
2009,12,dry,nonbreeding,oct,spring_oct_2009,2
2010,1,dry,nonbreeding,oct,spring_oct_2009,2
2010,2,dry,nonbreeding,oct,spring_oct_2009,2
2010,3,dry,nonbreeding,oct,spring_oct_2009,2
2010,4,dry,nonbreeding,oct,spring_oct_2009,2
2010,5,dry,nonbreeding,oct,spring_oct_2009,2
2010,6,wet,breeding,jun,fall_jun_2010,3
2010,7,wet,breeding,jun,fall_jun_2010,3
2010,8,wet,breeding,jun,fall_jun_2010,3
2010,9,wet,breeding,jun,fall_jun_2010,3
2010,10,dry,nonbreeding,oct,spring_oct_2010,4
2010,11,dry,nonbreeding,oct,spring_oct_2010,4
2010,12,dry,nonbreeding,oct,spring_oct_2010,4
2011,1,dry,nonbreeding,oct,spring_oct_2010,4
2011,2,dry,nonbreeding,oct,spring_oct_2010,4
2011,3,dry,nonbreeding,oct,spring_oct_2010,4
2011,4,dry,nonbreeding,oct,spring_oct_2010,4
2011,5,dry,nonbreeding,oct,spring_oct_2010,4
2011,6,wet,breeding,jun,fall_jun_2011,5
2011,7,wet,breeding,jun,fall_jun_2011,5
2011,8,wet,breeding,jun,fall_jun_2011,5
2011,9,wet,breeding,jun,fall_jun_2011,5
2011,10,dry,nonbreeding,oct,spring_oct_2011,6
2011,11,dry,nonbreeding,oct,spring_oct_2011,6
2011,12,dry,nonbreeding,oct,spring_oct_2011,6
2012,1,dry,nonbreeding,oct,spring_oct_2011,6
2012,2,dry,nonbreeding,oct,spring_oct_2011,6
2012,3,dry,nonbreeding,oct,spring_oct_2011,6
2012,4,dry,nonbreeding,oct,spring_oct_2011,6
2012,5,dry,nonbreeding,oct,spring_oct_2011,6
2012,6,wet,breeding,jun,fall_jun_2012,7
2012,7,wet,breeding,jun,fall_jun_2012,7
2012,8,wet,breeding,jun,fall_jun_2012,7
2012,9,wet,breeding,jun,fall_jun_2012,7
2012,10,dry,nonbreeding,oct,spring_oct_2012,8
2012,11,dry,nonbreeding,oct,spring_oct_2012,8
2012,12,dry,nonbreeding,oct,spring_oct_2012,8
2013,1,dry,nonbreeding,oct,spring_oct_2012,8
2013,2,dry,nonbreeding,oct,spring_oct_2012,8
2013,3,dry,nonbreeding,oct,spring_oct_2012,8
2013,4,dry,nonbreeding,oct,spring_oct_2012,8
2013,5,dry,nonbreeding,oct,spring_oct_2012,8
2013,6,wet,breeding,jun,fall_jun_2013,9
2013,7,wet,breeding,jun,fall_jun_2013,9
2013,8,wet,breeding,jun,fall_jun_2013,9
2013,9,wet,breeding,jun,fall_jun_2013,9
2013,10,dry,nonbreeding,oct,spring_oct_2013,10
2013,11,dry,nonbreeding,oct,spring_oct_2013,10
2013,12,dry,nonbreeding,oct,spring_oct_2013,10
2014,1,dry,nonbreeding,oct,spring_oct_2013,10
2014,2,dry,nonbreeding,oct,spring_oct_2013,10
2014,3,dry,nonbreeding,oct,spring_oct_2013,10
2014,4,dry,nonbreeding,oct,spring_oct_2013,10
2014,5,dry,nonbreeding,oct,spring_oct_2013,10
2014,6,wet,breeding,jun,fall_jun_2014,11
2014,7,wet,breeding,jun,fall_jun_2014,11
2014,8,wet,breeding,jun,fall_jun_2014,11
2014,9,wet,breeding,jun,fall_jun_2014,11
2014,10,dry,nonbreeding,oct,spring_oct_2014,12
2014,11,dry,nonbreeding,oct,spring_oct_2014,12
2014,12,dry,nonbreeding,oct,spring_oct_2014,12
2015,1,dry,nonbreeding,oct,spring_oct_2014,12
2015,2,dry,nonbreeding,oct,spring_oct_2014,12
2015,3,dry,nonbreeding,oct,spring_oct_2014,12
2015,4,dry,nonbreeding,oct,spring_oct_2014,12
2015,5,dry,nonbreeding,oct,spring_oct_2014,12
2015,6,wet,breeding,jun,fall_jun_2015,13
2015,7,wet,breeding,jun,fall_jun_2015,13
2015,8,wet,breeding,jun,fall_jun_2015,13
2015,9,wet,breeding,jun,fall_jun_2015,13
2015,10,dry,nonbreeding,oct,spring_oct_2015,14
2015,11,dry,nonbreeding,oct,spring_oct_2015,14
2015,12,dry,nonbreeding,oct,spring_oct_2015,14
2016,1,dry,nonbreeding,oct,spring_oct_2015,14
2016,2,dry,nonbreeding,oct,spring_oct_2015,14
2016,3,dry,nonbreeding,oct,spring_oct_2015,14
2016,4,dry,nonbreeding,oct,spring_oct_2015,14
2016,5,dry,nonbreeding,oct,spring_oct_2015,14
2016,6,wet,breeding,jun,fall_jun_2016,15
2016,7,wet,breeding,jun,fall_jun_2016,15
2016,8,wet,breeding,jun,fall_jun_2016,15
2016,9,wet,breeding,jun,fall_jun_2016,15
2016,10,dry,nonbreeding,oct,spring_oct_2016,16
2016,11,dry,nonbreeding,oct,spring_oct_2016,16
2016,12,dry,nonbreeding,oct,spring_oct_2016,16
2017,1,dry,nonbreeding,oct,spring_oct_2016,16
2017,2,dry,nonbreeding,oct,spring_oct_2016,16
2017,3,dry,nonbreeding,oct,spring_oct_2016,16
2017,4,dry,nonbreeding,oct,spring_oct_2016,16
2017,5,dry,nonbreeding,oct,spring_oct_2016,16
2017,6,wet,breeding,jun,fall_jun_2017,17
2017,7,wet,breeding,jun,fall_jun_2017,17
2017,8,wet,breeding,jun,fall_jun_2017,17
2017,9,wet,breeding,jun,fall_jun_2017,17
2017,10,dry,nonbreeding,oct,spring_oct_2017,18
2017,11,dry,nonbreeding,oct,spring_oct_2017,18
2017,12,dry,nonbreeding,oct,spring_oct_2017,18
2018,1,dry,nonbreeding,oct,spring_oct_2017,18
2018,2,dry,nonbreeding,oct,spring_oct_2017,18
2018,3,dry,nonbreeding,oct,spring_oct_2017,18
2018,4,dry,nonbreeding,oct,spring_oct_2017,18
2018,5,dry,nonbreeding,oct,spring_oct_2017,18
2018,6,wet,breeding,jun,fall_jun_2018,19
2018,7,wet,breeding,jun,fall_jun_2018,19
2018,8,wet,breeding,jun,fall_jun_2018,19
2018,9,wet,breeding,jun,fall_jun_2018,19
2018,10,dry,nonbreeding,oct,spring_oct_2018,20
2018,11,dry,nonbreeding,oct,spring_oct_2018,20
2018,12,dry,nonbreeding,oct,spring_oct_2018,20
2019,1,dry,nonbreeding,oct,spring_oct_2018,20
2019,2,dry,nonbreeding,oct,spring_oct_2018,20
2019,3,dry,nonbreeding,oct,spring_oct_2018,20
2019,4,dry,nonbreeding,oct,spring_oct_2018,20
2019,5,dry,nonbreeding,oct,spring_oct_2018,20
2019,6,wet,breeding,jun,fall_jun_2019,21
2019,7,wet,breeding,jun,fall_jun_2019,21
2019,8,wet,breeding,jun,fall_jun_2019,21
2019,9,wet,breeding,jun,fall_jun_2019,21
2019,10,dry,nonbreeding,oct,spring_oct_2019,22
2019,11,dry,nonbreeding,oct,spring_oct_2019,22
2019,12,dry,nonbreeding,oct,spring_oct_2019,22
2020,1,dry,nonbreeding,oct,spring_oct_2019,22
2020,2,dry,nonbreeding,oct,spring_oct_2019,22
2020,3,dry,nonbreeding,oct,spring_oct_2019,22
2020,4,dry,nonbreeding,oct,spring_oct_2019,22
2020,5,dry,nonbreeding,oct,spring_oct_2019,22
2020,6,wet,breeding,jun,fall_jun_2020,23
2020,7,wet,breeding,jun,fall_jun_2020,23
2020,8,wet,breeding,jun,fall_jun_2020,23
2020,9,wet,breeding,jun,fall_jun_2020,23
2020,10,dry,nonbreeding,oct,spring_oct_2020,24
2020,11,dry,nonbreeding,oct,spring_oct_2020,24
2020,12,dry,nonbreeding,oct,spring_oct_2020,24
2021,1,dry,nonbreeding,oct,spring_oct_2020,24
2021,2,dry,nonbreeding,oct,spring_oct_2020,24
2021,3,dry,nonbreeding,oct,spring_oct_2020,24
2021,4,dry,nonbreeding,oct,spring_oct_2020,24
2021,5,dry,nonbreeding,oct,spring_oct_2020,24
